code,subject,n_departments,n_placements,departments
28567,Progamming in C,8,8,Electrical Technology; Electromedical Technology; Electronics Technology; Mechanical Technology; Mechatronics Technology; Power Technology; RAC Technology; Telecommunication Technology
28571,Digital Marketing Technique,1,1,Computer Science & Technology
28572,Network Administration & Services,1,1,Computer Science & Technology
28573,Cyber Security & Ethics,1,1,Computer Science & Technology
28574,Apps Development Project,1,1,Computer Science & Technology
28575,Multimedia & Animation,1,1,Computer Science & Technology
28861,Advanced Construction,2,2,Civil Technology; Construction Technology
28863,Steel Structures,2,2,Civil Technology; Construction Technology
28871,Construction Management &,4,4,Civil Technology; Construction Technology; Environmental Technology; Surveying Technology
29041,Environmental Studies,29,29,"Aircraft Maintenance Technology- Aerospace; Aircraft Maintenance Technology- Avionics; Architecture Technology; Automobile Technology; Cadastral,Topographic Survey & Land Information Technology; Ceramic Technology; Chemical Technology; Civil Technology; Civil(Wood) Technology; Computer Science & Technology; Construction Technology; Electrical Technology; Electromedical Technology; Electronics Technology; Food Technology; Footwear Technology; Geoinformatics Technology; Glass Technology; Graphic Design Technology; Mechanical Technology; Mechatronics Technology; Petroleum and Mining Technology; Photogrammetry & Remote Sensing Technology; Power Technology; Printing Technology; RAC Technology; Surveying Technology; Telecommunication Technology; Tourism and Hospitality Management Technology"
29231,Mechatronics & PLC,4,4,Automobile Technology; Mechanical Technology; Petroleum and Mining Technology; RAC Technology
